,gender,disability,age_band,SES,highest_education,studied_credits,code_module,final_result
506,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
507,M,N,0-35,high,A Level or Equivalent,More than 65,AAA,Fail
508,M,N,35-55,high,HE Qualification,60-65,AAA,Pass
509,M,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
510,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
511,F,N,0-35,low,A Level or Equivalent,More than 65,AAA,Pass
513,M,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
515,F,Y,0-35,low,A Level or Equivalent,60-65,AAA,Fail
516,M,N,0-35,high,Lower Than A Level,60-65,AAA,Pass
517,F,N,35-55,high,HE Qualification,60-65,AAA,Pass
518,M,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
519,M,N,0-35,high,HE Qualification,60-65,AAA,Fail
520,M,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
521,F,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
523,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
525,F,N,0-35,high,HE Qualification,60-65,AAA,Pass
526,M,N,0-35,high,HE Qualification,60-65,AAA,Pass
528,F,N,35-55,low,A Level or Equivalent,More than 65,AAA,Pass
530,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
531,M,N,0-35,low,A Level or Equivalent,More than 65,AAA,Pass
532,M,N,0-35,high,Lower Than A Level,60-65,AAA,Pass
533,F,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
534,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
535,F,N,0-35,low,A Level or Equivalent,60-65,AAA,Fail
536,M,N,0-35,low,HE Qualification,60-65,AAA,Pass
537,M,N,0-35,high,Lower Than A Level,More than 65,AAA,Pass
538,F,N,35-55,high,HE Qualification,60-65,AAA,Pass
540,M,N,0-35,low,HE Qualification,60-65,AAA,Pass
541,F,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
543,M,N,0-35,low,A Level or Equivalent,More than 65,AAA,Pass
544,M,Y,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
546,M,N,0-35,high,Lower Than A Level,60-65,AAA,Pass
548,M,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
549,M,N,55<=,high,HE Qualification,60-65,AAA,Pass
550,M,N,0-35,low,HE Qualification,More than 65,AAA,Pass
551,F,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
552,M,N,35-55,high,HE Qualification,60-65,AAA,Fail
554,F,N,35-55,low,A Level or Equivalent,More than 65,AAA,Fail
555,M,N,0-35,low,A Level or Equivalent,More than 65,AAA,Pass
556,M,N,35-55,high,HE Qualification,60-65,AAA,Pass
557,F,Y,0-35,high,Lower Than A Level,More than 65,AAA,Fail
558,F,Y,0-35,low,Lower Than A Level,More than 65,AAA,Fail
559,F,N,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
560,F,N,0-35,high,HE Qualification,60-65,AAA,Pass
561,M,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
562,F,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
563,M,N,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
565,F,Y,0-35,high,A Level or Equivalent,60-65,AAA,Pass
566,F,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
567,F,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
568,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
569,M,N,55<=,high,HE Qualification,60-65,AAA,Pass
570,M,N,35-55,high,HE Qualification,60-65,AAA,Pass
571,M,N,0-35,low,A Level or Equivalent,More than 65,AAA,Pass
572,F,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
573,M,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
574,M,N,35-55,low,HE Qualification,60-65,AAA,Fail
575,M,N,0-35,high,A Level or Equivalent,More than 65,AAA,Fail
576,F,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
577,M,N,0-35,low,HE Qualification,More than 65,AAA,Pass
579,M,N,0-35,high,A Level or Equivalent,More than 65,AAA,Fail
580,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
582,F,N,0-35,high,HE Qualification,More than 65,AAA,Pass
583,M,N,0-35,low,HE Qualification,60-65,AAA,Pass
584,M,N,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
585,M,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
586,M,N,0-35,high,Lower Than A Level,More than 65,AAA,Fail
589,F,N,35-55,low,HE Qualification,More than 65,AAA,Pass
590,M,N,0-35,low,A Level or Equivalent,More than 65,AAA,Pass
591,M,N,0-35,low,A Level or Equivalent,More than 65,AAA,Fail
592,F,N,0-35,low,A Level or Equivalent,More than 65,AAA,Pass
593,F,N,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
594,F,N,0-35,high,HE Qualification,More than 65,AAA,Pass
596,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
597,M,N,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
598,F,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
600,F,N,0-35,high,HE Qualification,60-65,AAA,Pass
602,M,N,0-35,high,HE Qualification,More than 65,AAA,Pass
603,M,N,35-55,high,Lower Than A Level,More than 65,AAA,Fail
604,M,N,0-35,high,HE Qualification,60-65,AAA,Pass
605,F,N,0-35,low,HE Qualification,More than 65,AAA,Fail
606,M,N,35-55,high,A Level or Equivalent,More than 65,AAA,Pass
607,M,N,0-35,high,HE Qualification,60-65,AAA,Pass
610,F,N,35-55,high,HE Qualification,60-65,AAA,Pass
611,M,N,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
612,F,N,0-35,low,HE Qualification,More than 65,AAA,Pass
613,M,N,0-35,low,HE Qualification,60-65,AAA,Pass
615,F,N,35-55,high,HE Qualification,More than 65,AAA,Fail
616,F,N,0-35,high,HE Qualification,More than 65,AAA,Pass
618,F,N,0-35,high,HE Qualification,More than 65,AAA,Pass
622,M,N,0-35,low,A Level or Equivalent,More than 65,AAA,Pass
623,M,N,0-35,low,HE Qualification,More than 65,AAA,Pass
627,F,N,0-35,high,HE Qualification,60-65,AAA,Pass
628,M,N,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
632,M,N,0-35,high,HE Qualification,60-65,AAA,Pass
633,M,N,0-35,high,A Level or Equivalent,60-65,AAA,Fail
635,M,N,0-35,low,HE Qualification,More than 65,AAA,Pass
639,M,N,55<=,high,A Level or Equivalent,60-65,AAA,Fail
640,F,N,55<=,high,A Level or Equivalent,60-65,AAA,Pass
641,M,N,35-55,low,Lower Than A Level,60-65,AAA,Pass
642,F,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
644,M,N,35-55,high,HE Qualification,60-65,AAA,Pass
645,M,N,55<=,high,HE Qualification,60-65,AAA,Pass
646,M,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
650,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
651,F,Y,35-55,low,Lower Than A Level,60-65,AAA,Pass
652,F,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
653,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
654,F,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
655,F,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
656,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
660,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
661,M,N,35-55,high,Lower Than A Level,More than 65,AAA,Pass
662,F,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
663,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
664,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
665,F,N,35-55,low,HE Qualification,More than 65,AAA,Fail
667,M,N,35-55,low,Lower Than A Level,60-65,AAA,Pass
668,F,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
669,F,Y,35-55,high,A Level or Equivalent,60-65,AAA,Pass
670,M,N,35-55,low,Lower Than A Level,More than 65,AAA,Pass
671,M,N,35-55,low,Lower Than A Level,60-65,AAA,Pass
672,F,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
673,M,N,35-55,low,HE Qualification,More than 65,AAA,Fail
674,M,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
675,F,N,35-55,low,Lower Than A Level,60-65,AAA,Fail
676,F,N,35-55,low,HE Qualification,60-65,AAA,Pass
677,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
678,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
679,F,N,35-55,low,Lower Than A Level,More than 65,AAA,Pass
682,F,N,0-35,low,Lower Than A Level,60-65,AAA,Pass
684,F,N,0-35,high,Lower Than A Level,More than 65,AAA,Fail
685,M,N,35-55,low,Lower Than A Level,60-65,AAA,Pass
686,M,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
688,F,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
689,F,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
691,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
692,M,N,35-55,low,Lower Than A Level,60-65,AAA,Pass
693,M,N,35-55,high,A Level or Equivalent,More than 65,AAA,Pass
694,F,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
695,F,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
697,M,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
698,F,Y,35-55,high,A Level or Equivalent,60-65,AAA,Pass
699,F,N,35-55,low,Lower Than A Level,60-65,AAA,Pass
700,M,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
701,F,N,35-55,low,Lower Than A Level,60-65,AAA,Fail
702,M,N,0-35,low,HE Qualification,60-65,AAA,Pass
703,M,Y,35-55,low,A Level or Equivalent,60-65,AAA,Fail
704,F,N,35-55,high,HE Qualification,60-65,AAA,Pass
705,M,N,0-35,low,A Level or Equivalent,60-65,AAA,Pass
706,F,N,0-35,high,A Level or Equivalent,60-65,AAA,Fail
707,M,N,0-35,low,HE Qualification,60-65,AAA,Pass
708,F,N,55<=,high,HE Qualification,60-65,AAA,Fail
709,F,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
711,M,N,0-35,high,HE Qualification,60-65,AAA,Pass
712,F,N,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
714,M,N,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
715,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
716,F,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
717,F,Y,35-55,high,A Level or Equivalent,60-65,AAA,Pass
718,F,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
721,F,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
723,M,N,0-35,high,A Level or Equivalent,60-65,AAA,Pass
724,F,N,35-55,high,HE Qualification,60-65,AAA,Fail
725,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Fail
726,M,N,35-55,low,Lower Than A Level,More than 65,AAA,Pass
727,F,N,35-55,low,Lower Than A Level,60-65,AAA,Pass
728,F,N,0-35,high,A Level or Equivalent,More than 65,AAA,Pass
729,F,N,35-55,high,Lower Than A Level,60-65,AAA,Fail
730,M,N,55<=,high,A Level or Equivalent,60-65,AAA,Pass
731,M,N,35-55,high,HE Qualification,60-65,AAA,Pass
732,F,N,35-55,low,Lower Than A Level,More than 65,AAA,Fail
733,M,N,0-35,high,A Level or Equivalent,60-65,AAA,Fail
734,F,N,0-35,high,A Level or Equivalent,60-65,AAA,Fail
736,M,N,35-55,high,A Level or Equivalent,60-65,AAA,Pass
737,F,N,35-55,low,A Level or Equivalent,More than 65,AAA,Pass
738,F,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
739,F,N,35-55,low,A Level or Equivalent,60-65,AAA,Pass
740,M,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
741,F,N,35-55,high,Lower Than A Level,60-65,AAA,Pass
742,M,N,35-55,low,A Level or Equivalent,More than 65,AAA,Pass
743,M,N,55<=,high,HE Qualification,60-65,AAA,Pass
744,M,N,35-55,low,Lower Than A Level,60-65,AAA,Pass
746,M,N,35-55,low,Lower Than A Level,More than 65,AAA,Pass
747,F,Y,35-55,high,A Level or Equivalent,More than 65,AAA,Fail
748,F,N,0-35,low,Lower Than A Level,60-65,BBB,Fail
749,F,N,0-35,low,Lower Than A Level,More than 65,BBB,Pass
751,M,N,0-35,high,Lower Than A Level,More than 65,BBB,Fail
752,M,N,35-55,low,A Level or Equivalent,60-65,BBB,Pass
754,F,N,35-55,low,A Level or Equivalent,More than 65,BBB,Pass
755,M,Y,35-55,high,A Level or Equivalent,More than 65,BBB,Fail
759,F,N,0-35,high,A Level or Equivalent,60-65,BBB,Pass
760,F,N,0-35,low,Lower Than A Level,60-65,BBB,Fail
761,F,N,0-35,high,Lower Than A Level,More than 65,BBB,Pass
762,F,Y,0-35,low,Lower Than A Level,60-65,BBB,Fail
764,F,N,0-35,low,A Level or Equivalent,More than 65,BBB,Fail
765,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Fail
766,F,N,35-55,high,HE Qualification,More than 65,BBB,Pass
767,F,N,0-35,high,A Level or Equivalent,More than 65,BBB,Fail
769,F,N,0-35,low,Lower Than A Level,More than 65,BBB,Pass
770,F,N,0-35,low,Lower Than A Level,More than 65,BBB,Pass
771,F,N,35-55,high,Lower Than A Level,60-65,BBB,Pass
772,F,N,0-35,low,Lower Than A Level,60-65,BBB,Fail
773,F,Y,35-55,low,Lower Than A Level,More than 65,BBB,Fail
774,F,N,0-35,low,Lower Than A Level,More than 65,BBB,Pass
775,F,N,0-35,high,Lower Than A Level,60-65,BBB,Pass
776,F,N,35-55,low,HE Qualification,60-65,BBB,Pass
777,M,N,0-35,high,A Level or Equivalent,More than 65,BBB,Pass
778,F,N,35-55,high,A Level or Equivalent,60-65,BBB,Pass
781,M,N,35-55,low,A Level or Equivalent,More than 65,BBB,Pass
783,F,N,35-55,low,A Level or Equivalent,60-65,BBB,Pass
785,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Pass
786,F,N,35-55,low,HE Qualification,More than 65,BBB,Pass
787,F,N,0-35,low,Lower Than A Level,More than 65,BBB,Pass
788,F,N,0-35,high,Lower Than A Level,60-65,BBB,Fail
790,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Pass
791,F,N,35-55,low,HE Qualification,60-65,BBB,Pass
793,F,N,35-55,high,Lower Than A Level,More than 65,BBB,Pass
794,F,Y,35-55,low,Lower Than A Level,More than 65,BBB,Pass
795,F,N,0-35,high,A Level or Equivalent,60-65,BBB,Pass
796,F,N,0-35,high,HE Qualification,More than 65,BBB,Pass
797,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Pass
798,F,N,35-55,low,HE Qualification,60-65,BBB,Pass
799,M,N,35-55,low,A Level or Equivalent,60-65,BBB,Fail
800,F,Y,35-55,low,Lower Than A Level,More than 65,BBB,Fail
801,F,N,0-35,low,Lower Than A Level,More than 65,BBB,Fail
803,F,Y,35-55,high,A Level or Equivalent,60-65,BBB,Pass
804,F,N,35-55,low,A Level or Equivalent,60-65,BBB,Pass
805,F,Y,0-35,low,Lower Than A Level,60-65,BBB,Fail
808,F,N,35-55,high,HE Qualification,60-65,BBB,Pass
809,F,N,0-35,low,Lower Than A Level,60-65,BBB,Fail
810,F,N,35-55,low,Lower Than A Level,More than 65,BBB,Fail
812,F,N,35-55,low,Lower Than A Level,60-65,BBB,Fail
813,F,Y,0-35,high,A Level or Equivalent,More than 65,BBB,Pass
815,M,N,0-35,low,A Level or Equivalent,60-65,BBB,Pass
816,M,N,0-35,low,A Level or Equivalent,60-65,BBB,Fail
817,F,Y,0-35,high,A Level or Equivalent,60-65,BBB,Pass
820,F,N,35-55,low,Lower Than A Level,60-65,BBB,Pass
821,F,N,35-55,low,Lower Than A Level,More than 65,BBB,Pass
823,F,N,0-35,high,Lower Than A Level,60-65,BBB,Pass
824,F,N,0-35,high,A Level or Equivalent,60-65,BBB,Fail
825,F,N,0-35,high,HE Qualification,60-65,BBB,Pass
827,F,N,35-55,low,A Level or Equivalent,60-65,BBB,Pass
828,F,N,0-35,low,Lower Than A Level,60-65,BBB,Fail
829,M,N,35-55,high,A Level or Equivalent,60-65,BBB,Pass
832,F,N,0-35,high,Lower Than A Level,More than 65,BBB,Fail
833,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Fail
834,F,N,0-35,low,Lower Than A Level,60-65,BBB,Fail
838,F,N,35-55,low,Lower Than A Level,More than 65,BBB,Pass
839,F,Y,35-55,high,A Level or Equivalent,More than 65,BBB,Fail
841,F,N,35-55,low,Lower Than A Level,60-65,BBB,Pass
842,F,N,35-55,low,HE Qualification,60-65,BBB,Fail
844,F,N,0-35,low,Lower Than A Level,60-65,BBB,Fail
845,F,Y,35-55,low,Lower Than A Level,More than 65,BBB,Fail
846,M,N,0-35,high,Lower Than A Level,More than 65,BBB,Pass
847,M,N,35-55,high,A Level or Equivalent,More than 65,BBB,Pass
848,F,Y,35-55,low,Lower Than A Level,60-65,BBB,Pass
849,F,N,35-55,low,HE Qualification,60-65,BBB,Pass
850,M,N,35-55,high,Lower Than A Level,60-65,BBB,Pass
851,F,N,0-35,low,HE Qualification,60-65,BBB,Pass
853,F,N,0-35,low,HE Qualification,60-65,BBB,Fail
854,F,N,0-35,high,A Level or Equivalent,More than 65,BBB,Fail
855,F,N,0-35,high,Lower Than A Level,60-65,BBB,Pass
856,F,Y,0-35,low,A Level or Equivalent,More than 65,BBB,Fail
857,F,N,0-35,low,A Level or Equivalent,More than 65,BBB,Pass
858,F,N,35-55,low,Lower Than A Level,60-65,BBB,Fail
859,M,N,35-55,high,A Level or Equivalent,60-65,BBB,Fail
860,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Pass
863,F,N,0-35,high,A Level or Equivalent,60-65,BBB,Pass
864,F,N,0-35,low,Lower Than A Level,60-65,BBB,Pass
867,F,N,0-35,high,Lower Than A Level,60-65,BBB,Pass
869,F,Y,0-35,low,Lower Than A Level,60-65,BBB,Fail
870,M,N,0-35,low,A Level or Equivalent,60-65,BBB,Fail
871,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Fail
873,F,N,35-55,low,Lower Than A Level,60-65,BBB,Fail
874,M,N,0-35,high,Lower Than A Level,60-65,BBB,Fail
875,F,N,0-35,high,A Level or Equivalent,60-65,BBB,Pass
876,F,N,35-55,low,A Level or Equivalent,60-65,BBB,Pass
877,F,N,0-35,low,Lower Than A Level,60-65,BBB,Pass
878,F,Y,0-35,high,A Level or Equivalent,More than 65,BBB,Fail
881,F,N,0-35,high,Lower Than A Level,60-65,BBB,Pass
882,F,N,35-55,high,Lower Than A Level,60-65,BBB,Pass
887,F,Y,0-35,low,A Level or Equivalent,More than 65,BBB,Fail
888,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Pass
889,F,N,35-55,low,Lower Than A Level,More than 65,BBB,Pass
893,F,N,0-35,low,A Level or Equivalent,More than 65,BBB,Pass
894,F,N,35-55,low,Lower Than A Level,More than 65,BBB,Fail
897,F,N,0-35,low,Lower Than A Level,60-65,BBB,Fail
898,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Pass
899,F,N,35-55,high,Lower Than A Level,60-65,BBB,Pass
900,F,N,35-55,low,Lower Than A Level,More than 65,BBB,Pass
901,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Pass
902,M,N,35-55,low,Lower Than A Level,60-65,BBB,Fail
903,F,N,0-35,high,A Level or Equivalent,More than 65,BBB,Pass
904,F,Y,0-35,low,HE Qualification,60-65,BBB,Pass
905,F,N,0-35,high,A Level or Equivalent,60-65,BBB,Pass
906,F,N,0-35,high,A Level or Equivalent,More than 65,BBB,Fail
907,F,N,0-35,low,Lower Than A Level,60-65,BBB,Pass
908,F,N,0-35,high,A Level or Equivalent,More than 65,BBB,Pass
909,F,Y,0-35,low,HE Qualification,More than 65,BBB,Fail
910,F,N,35-55,high,HE Qualification,More than 65,BBB,Pass
911,F,Y,0-35,high,Lower Than A Level,More than 65,BBB,Fail
913,F,N,0-35,high,A Level or Equivalent,More than 65,BBB,Pass
914,F,N,35-55,low,Lower Than A Level,More than 65,BBB,Pass
915,F,N,0-35,low,Lower Than A Level,More than 65,BBB,Pass
918,F,N,0-35,high,Lower Than A Level,60-65,BBB,Fail
919,F,N,0-35,low,A Level or Equivalent,More than 65,BBB,Pass
921,F,N,0-35,high,A Level or Equivalent,More than 65,BBB,Pass
923,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Pass
924,F,N,35-55,low,HE Qualification,More than 65,BBB,Pass
925,F,N,0-35,high,A Level or Equivalent,More than 65,BBB,Pass
929,F,N,0-35,high,Lower Than A Level,More than 65,BBB,Pass
931,F,N,0-35,low,Lower Than A Level,60-65,BBB,Pass
932,M,N,35-55,high,Lower Than A Level,More than 65,BBB,Pass
933,F,N,0-35,low,Lower Than A Level,60-65,BBB,Pass
935,F,N,35-55,low,Lower Than A Level,60-65,BBB,Fail
936,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Pass
937,F,N,35-55,low,A Level or Equivalent,60-65,BBB,Pass
938,F,N,35-55,low,A Level or Equivalent,60-65,BBB,Pass
939,F,N,0-35,low,A Level or Equivalent,More than 65,BBB,Pass
940,F,N,0-35,low,Lower Than A Level,60-65,BBB,Fail
941,F,N,35-55,high,Post Graduate Qualification,More than 65,BBB,Pass
942,F,N,0-35,high,A Level or Equivalent,60-65,BBB,Fail
944,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Fail
946,F,N,0-35,high,A Level or Equivalent,More than 65,BBB,Pass
947,F,N,0-35,low,Lower Than A Level,60-65,BBB,Pass
948,F,N,0-35,low,A Level or Equivalent,More than 65,BBB,Fail
949,M,N,0-35,low,HE Qualification,More than 65,BBB,Pass
950,F,N,0-35,high,Lower Than A Level,60-65,BBB,Fail
951,M,N,0-35,high,A Level or Equivalent,60-65,BBB,Pass
953,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Pass
954,F,N,35-55,low,A Level or Equivalent,More than 65,BBB,Pass
955,F,N,0-35,low,Lower Than A Level,More than 65,BBB,Fail
957,F,N,0-35,low,Lower Than A Level,More than 65,BBB,Fail
959,F,N,0-35,low,A Level or Equivalent,More than 65,BBB,Fail
960,F,N,0-35,high,Lower Than A Level,More than 65,BBB,Fail
961,F,N,0-35,low,A Level or Equivalent,More than 65,BBB,Fail
962,F,N,0-35,low,Lower Than A Level,More than 65,BBB,Fail
963,F,N,0-35,low,Lower Than A Level,More than 65,BBB,Pass
964,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Fail
966,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Pass
972,F,Y,0-35,low,Lower Than A Level,60-65,BBB,Fail
974,F,Y,0-35,low,A Level or Equivalent,More than 65,BBB,Pass
976,F,N,35-55,high,A Level or Equivalent,60-65,BBB,Fail
977,F,N,0-35,low,Lower Than A Level,60-65,BBB,Fail
978,M,N,35-55,low,Lower Than A Level,60-65,BBB,Fail
979,F,N,0-35,low,HE Qualification,More than 65,BBB,Pass
980,F,N,0-35,low,Lower Than A Level,60-65,BBB,Pass
981,F,N,0-35,low,Lower Than A Level,More than 65,BBB,Fail
984,F,N,35-55,high,Lower Than A Level,60-65,BBB,Pass
985,F,N,35-55,low,Lower Than A Level,More than 65,BBB,Fail
987,F,N,0-35,low,Lower Than A Level,60-65,BBB,Fail
991,F,N,0-35,low,A Level or Equivalent,More than 65,BBB,Fail
993,F,N,0-35,low,HE Qualification,More than 65,BBB,Fail
994,F,N,0-35,low,A Level or Equivalent,More than 65,BBB,Fail
996,F,N,0-35,high,Lower Than A Level,More than 65,BBB,Pass
998,M,N,0-35,high,HE Qualification,More than 65,BBB,Pass
999,M,N,0-35,high,A Level or Equivalent,60-65,BBB,Pass
1000,F,N,0-35,low,A Level or Equivalent,More than 65,BBB,Fail
1002,M,N,35-55,low,Lower Than A Level,More than 65,BBB,Fail
1003,F,N,0-35,low,Lower Than A Level,More than 65,BBB,Pass
1004,M,N,35-55,high,A Level or Equivalent,More than 65,BBB,Pass
1006,F,N,0-35,high,HE Qualification,More than 65,BBB,Fail
1007,F,Y,35-55,high,Lower Than A Level,60-65,BBB,Pass
1008,F,N,0-35,high,A Level or Equivalent,60-65,BBB,Fail
1009,F,N,0-35,high,A Level or Equivalent,60-65,BBB,Pass
1010,F,N,0-35,low,Lower Than A Level,60-65,BBB,Fail
1011,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Fail
1012,F,N,0-35,low,Lower Than A Level,60-65,BBB,Fail
1013,M,N,35-55,low,Lower Than A Level,60-65,BBB,Pass
1014,F,N,0-35,low,Lower Than A Level,60-65,BBB,Fail
1016,M,N,35-55,high,Lower Than A Level,60-65,BBB,Fail
1017,F,N,0-35,low,Lower Than A Level,More than 65,BBB,Fail
1018,F,N,0-35,high,Lower Than A Level,More than 65,BBB,Pass
1020,F,Y,0-35,low,Lower Than A Level,60-65,BBB,Fail
1021,F,N,35-55,high,HE Qualification,More than 65,BBB,Pass
1023,M,N,35-55,low,Lower Than A Level,60-65,BBB,Pass
1025,F,Y,35-55,low,A Level or Equivalent,More than 65,BBB,Pass
1026,M,N,35-55,low,Lower Than A Level,More than 65,BBB,Pass
1027,F,N,0-35,low,Lower Than A Level,More than 65,BBB,Fail
1028,F,N,35-55,high,A Level or Equivalent,More than 65,BBB,Pass
1029,M,N,0-35,high,HE Qualification,More than 65,BBB,Pass
1031,F,N,0-35,high,A Level or Equivalent,More than 65,BBB,Fail
1034,F,N,0-35,high,HE Qualification,More than 65,BBB,Fail
1037,M,N,0-35,high,HE Qualification,60-65,BBB,Fail
1040,M,Y,35-55,low,Lower Than A Level,More than 65,BBB,Pass
1041,F,N,0-35,low,Lower Than A Level,60-65,BBB,Fail
1043,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Fail
1045,F,N,0-35,low,A Level or Equivalent,More than 65,BBB,Fail
1046,F,N,0-35,low,A Level or Equivalent,60-65,BBB,Fail
1047,F,N,35-55,low,Lower Than A Level,60-65,BBB,Fail
1048,F,N,0-35,low,Lower Than A Level,60-65,BBB,Fail
1049,M,N,0-35,low,A Level or Equivalent,More than 65,BBB,Pass
1050,F,N,0-35,high,Lower Than A Level,More than 65,BBB,Pass
1051,F,Y,0-35,high,A Level or Equivalent,60-65,BBB,Pass
1052,F,N,35-55,high,HE Qualification,More than 65,BBB,Fail
